Food,Calories,Protein(g),Carbs(g),Fat(g),Category,Type_of_Diet,Disease_Help
Malai Kofta,250.0,8.0,12.0,20.0,Dairy,High Fat,Energy Boost
Aloo Tikki,220.0,6.0,30.0,8.0,Snack,Vegetarian,Digestive Health
Veg Pulao,200.0,5.0,35.0,6.0,Grain,Vegetarian,Energy Boost
Mango Lassi,180.0,6.0,28.0,6.0,Beverage,Vegetarian,Energy Boost
Roti,71.0,3.0,15.0,0.4,Grain,Vegan,Heart Health
Paratha,200.0,5.0,30.0,7.0,Grain,Vegetarian,Digestive Health
Bajra Roti,120.0,4.0,20.0,2.0,Grain,Vegan,Heart Health
Sarson Ka Saag,180.0,5.0,15.0,10.0,Vegetable,Vegan,Bone Health
Makki Ki Roti,150.0,4.0,25.0,3.0,Grain,Vegan,Heart Health
Besan Laddu,250.0,6.0,35.0,10.0,Dessert,Vegetarian,Skin Health
Moong Dal Halwa,300.0,8.0,40.0,12.0,Dessert,Vegetarian,Skin Health
Chicken Tikka,220.0,25.0,5.0,12.0,Meat,High Protein,Muscle Gain
Tandoori Chicken,300.0,30.0,0.0,18.0,Meat,Keto,Energy Boost
Veg Hakka Noodles,350.0,10.0,60.0,10.0,Grain,Vegetarian,Energy Boost
Fried Rice,290.0,8.0,50.0,8.0,Grain,Vegetarian,Energy Boost
Sweet Corn Soup,120.0,4.0,20.0,Soup,Vegetarian,Immune Support
Tomato Soup,90.0,3.0,15.0,Soup,Vegan,Immune Support
Paneer Butter Masala,350.0,15.0,20.0,Dairy,High Protein,Bone Health
Veg Manchurian,250.0,8.0,30.0,12.0,Snack,Vegetarian,Digestive Health
Gajar Ka Halwa,300.0,6.0,40.0,10.0,Dessert,Vegetarian,Skin Health
Shrahi Paneer,320.0,18.0,15.0,22.0,Dairy,High Protein,Bone Health
Kaju Katli,200.0,4.0,25.0,10.0,Dessert,Vegetarian,Skin Health
Peda,150.0,5.0,20.0,Dessert,Vegetarian,Skin Health
Milk Barfi,220.0,8.0,30.0,Dessert,Vegetarian,Energy Boost
Aloo Bonda,180.0,5.0,25.0,8.0,Snack,Vegetarian,Digestive Health
Chana Masala,210.0,11.0,35.0,6.0,Legume,Vegan,Heart Health
Veg Kolhapuri,250.0,8.0,20.0,15.0,Vegetable,Vegetarian,Energy Boost
Dahi Puri,200.0,5.0,30.0,8.0,Snack,Vegetarian,Digestive Health
Pav Bhaji,400.0,8.0,45.0,20.0,Snack,Vegetarian,Energy Boost
Chilli Paneer,300.0,15.0,20.0,18.0,Dairy,Vegetarian,Muscle Gain
Hakka Noodles,350.0,10.0,60.0,10.0,Grain,Vegetarian,Energy Boost
Lemon Rice,180.0,4.0,35.0,5.0,Grain,Vegetarian,Energy Boost
Coconut Rice,200.0,4.0,30.0,8.0,Grain,Vegetarian,Heart Health
Mutton Curry,400.0,25.0,10.0,25.0,Meat,Keto,Energy Boost
Chicken Curry,350.0,28.0,15.0,20.0,Meat,Keto,Immune Support
Rava Dosa,150.0,5.0,25.0,4.0,Grain,Vegetarian,Digestive Health
Onion Uttapam,180.0,6.0,30.0,5.0,Grain,Vegetarian,Energy Boost
Tomato Chutney,50.0,1.0,8.0,2.0,Condiment,Vegan,Heart Health
Peanut Chutney,80.0,3.0,6.0,5.0,Condiment,Vegan,Heart Health
Coconut Chutney,90.0,1.0,6.0,7.0,Condiment,Vegan,Heart Health
Masala Dosa,206.0,5.0,30.0,6.0,Grain,Vegetarian,Energy Boost
Chettinad Chicken Curry,380.0,30.0,10.0,25.0,Meat,Keto,Energy Boost
Aloo Chaat,250.0,6.0,35.0,10.0,Snack,Vegetarian,Digestive Health
Gobi Manchurian,300.0,10.0,25.0,15.0,Vegetable,Vegetarian,Energy Boost
Methi Thepla,200.0,5.0,30.0,7.0,Grain,Vegetarian,Digestive Health
Bombay Sandwich,220.0,8.0,35.0,6.0,Snack,Vegetarian,Heart Health
Paneer Bhurji,280.0,18.0,10.0,20.0,Dairy,High Protein,Bone Health
Masoor Dal,180.0,12.0,25.0,5.0,Legume,Vegan,Weight Management
Kadhi,150.0,6.0,20.0,5.0,Legume,Vegan,Digestive Health
Tandoori Roti,100.0,3.5,18.0,2.0,Grain,Low Fat,Heart Health
Naan,290.0,9.0,48.0,7.0,Grain,Vegetarian,Energy Boost
Fish Fry,250.0,20.0,5.0,15.0,Seafood,Keto,Energy Boost
Egg Bhurji,180.0,12.0,8.0,12.0,Egg,High Protein,Energy Boost
Mango Pickle,150.0,0.5,8.0,12.0,Condiment,Vegetarian,Immune Support
Vegetable Samosa,200.0,5.0,30.0,8.0,Snack,Vegetarian,Digestive Health
Chicken Shawarma,300.0,25.0,20.0,15.0,Meat,Keto,Energy Boost
Beef Curry,400.0,30.0,10.0,25.0,Meat,Keto,Energy Boost
Litti Chokha,350.0,12.0,45.0,15.0,Grain,Vegetarian,Energy Boost
Mushroom Masala,220.0,6.0,20.0,12.0,Vegetable,Vegetarian,Immune Support
Paneer Butter Masala,350.0,15.0,20.0,Dairy,High Protein,Bone Health
Chicken Biryani,450.0,20.0,60.0,15.0,Grain,High Protein,Energy Boost
Veg Pulao,200.0,5.0,35.0,6.0,Grain,Vegetarian,Energy Boost
Chicken Korma,350.0,25.0,10.0,25.0,Meat,Keto,Immune Support
Goan Fish Curry,320.0,22.0,12.0,20.0,Seafood,High Protein,Bone Health
Hyderabadi Biryani,450.0,20.0,60.0,15.0,Grain,High Protein,Energy Boost
Chicken 65,300.0,25.0,10.0,20.0,Meat,Keto,Energy Boost
Keema Pav,400.0,20.0,50.0,15.0,Meat,Pescatarian,Heart Health
Misal Pav,350.0,15.0,40.0,12.0,Legume,Vegetarian,Energy Boost
Sheera,250.0,5.0,45.0,7.0,Dessert,Vegetarian,Skin Health
Jalebi,150.0,3.0,30.0,6.0,Dessert,Vegetarian,Skin Health
Fafda,200.0,5.0,35.0,8.0,Snack,Vegetarian,Digestive Health
Dhokla,150.0,5.0,28.0,4.0,Snack,Vegetarian,Digestive Health
Handvo,180.0,6.0,25.0,7.0,Snack,Vegetarian,Digestive Health
Undhiyu,250.0,8.0,30.0,12.0,Vegetable,Vegan,Weight Management
Aamras,100.0,2.0,20.0,Beverage,Vegan,Immune Support
Shrikhand,280.0,7.0,20.0,Dessert,Vegetarian,Energy Boost
Banana Chips,450.0,5.0,50.0,25.0,Snack,Vegetarian,Energy Boost
Malai Kofta,250.0,8.0,12.0,20.0,Dairy,High Fat,Energy Boost
Aloo Tikki,220.0,6.0,30.0,8.0,Snack,Vegetarian,Digestive Health
Veg Pulao,200.0,5.0,35.0,6.0,Grain,Vegetarian,Energy Boost
Mango Lassi,180.0,6.0,28.0,6.0,Beverage,Vegetarian,Energy Boost
