food,calorie,protein,carbs,fat,Goals,Preferences,Restrictions
Iced Ginger Tea,5,0.0,1.0,0.0,General health,Beverages,Caffeine sensitive
Olive Tapenade,80,1.0,5.0,6.0,General health,Fats,No Restriction
Greek Chicken Gyro,300,25.0,15.0,15.0,Weight loss,Protein-Rich Foods,No Restriction
Caprese Panini,280,12.0,25.0,14.0,General health,Dairy,No Restriction
Roasted Turkey Breast,150,30.0,0.0,3.0,Weight loss,Protein-Rich Foods,No Restriction
Iced Peach Tea,15,0.0,4.0,0.0,General health,Beverages,Caffeine sensitive
Chicken Caesar Bowl,320,22.0,20.0,15.0,Weight loss,Protein-Rich Foods,No Restriction
Margherita Flatbread Sandwich,250,10.0,30.0,8.0,General health,Vegetarian,No Restriction
Quinoa and Chickpea Salad,220,8.0,35.0,5.0,General health,Whole Grains,Vegetarian
Iced Lavender Tea,5,0.0,1.0,0.0,General health,Beverages,Caffeine sensitive
Greek Chicken Wrap,300,25.0,15.0,12.0,Weight loss,Protein-Rich Foods,No Restriction
Caprese Pasta Salad,280,12.0,25.0,14.0,General health,Dairy,No Restriction
Baked Cod Fish,120,25.0,0.0,2.0,Weight loss,Seafood,No Restriction
Iced Berry Tea,10,0.0,3.0,0.0,General health,Beverages,Caffeine sensitive
Chicken Caesar Wrap,300,22.0,20.0,15.0,Weight loss,Protein-Rich Foods,No Restriction
Quinoa and Vegetable Stir-Fry,220,8.0,35.0,5.0,General health,Whole Grains,Vegetarian
Iced Peppermint Tea,5,0.0,1.0,0.0,General health,Beverages,Caffeine sensitive
Chicken Caesar Salad,200,25.0,10.0,8.0,Weight loss,Protein-Rich Foods,No Restriction
Chana Masala,150,7.0,25.0,5.0,General health,Vegetarian,No Restriction
Masoor Dal,120,9.0,20.0,2.0,General health,Vegetarian,No Restriction
Chicken Biryani,300,20.0,30.0,15.0,Weight loss,Protein-Rich Foods,No Restriction
Vegetable Pulao,250,5.0,40.0,8.0,General health,Vegetarian,No Restriction
Mango Lassi,150,5.0,30.0,2.0,General health,Beverages,No Restriction
Palak Paneer,200,15.0,10.0,12.0,Weight loss,Vegetarian,No Restriction
Tandoori Roti,100,3.0,15.0,2.0,General health,Whole Grains,Vegetarian
Coconut Chutney,50,1.0,5.0,3.0,General health,Vegetarian,No Restriction
Gulab Jamun,200,2.0,30.0,10.0,General health,Sweets,No Restriction
Aloo Gobi,180,5.0,20.0,10.0,General health,Vegetarian,No Restriction
Rice(Steamed),150,3.0,30.0,1.0,General health,Whole Grains,No Restriction
Dal Tadka,120,8.0,15.0,5.0,General health,Vegetarian,No Restriction
Roti,80,2.0,15.0,1.0,General health,Whole Grains,Vegetarian
Aloo Paratha,250,5.0,30.0,12.0,General health,Vegetarian,No Restriction
Paneer Bhurji,200,15.0,10.0,12.0,Weight loss,Vegetarian,No Restriction
Cucumber Raita,50,2.0,6.0,2.0,General health,Vegetarian,No Restriction
Chapati,70,2.0,12.0,1.0,General health,Whole Grains,Vegetarian
Baingan Bharta,120,5.0,15.0,6.0,General health,Vegetarian,No Restriction
Masala Chai,50,1.0,8.0,2.0,General health,Beverages,Caffeine sensitive
Samosa,150,3.0,20.0,7.0,General health,Snacks,No Restriction
Khichdi,200,6.0,30.0,5.0,General health,Vegetarian,No Restriction
Bhindi Masala,120,3.0,15.0,7.0,General health,Vegetarian,No Restriction
Poha,150,3.0,30.0,2.0,General health,Vegetarian,No Restriction
Rajma Chawal,250,10.0,40.0,5.0,General health,Vegetarian,No Restriction
Curd Rice,180,5.0,25.0,6.0,General health,Vegetarian,No Restriction
Aloo Matar,160,4.0,20.0,8.0,General health,Vegetarian,No Restriction
Jalebi,250,2.0,40.0,10.0,General health,Sweets,No Restriction
Dosa,120,2.0,25.0,2.0,General health,Vegetarian,No Restriction
Mango,60,1.0,15.0,0.3,General health,Fruits,No Restriction
Lassi,100,3.0,15.0,3.0,General health,Beverages,No Restriction
Chapati,80,2.0,15.0,1.0,General health,Whole Grains,Vegetarian
Rajma,160,8.0,30.0,2.0,General health,Vegetarian,No Restriction
Chicken Curry,250,20.0,10.0,15.0,Weight loss,Protein-Rich Foods,No Restriction
Vegetable Biryani,300,7.0,40.0,10.0,General health,Vegetarian,No Restriction
Butter Chicken,350,25.0,15.0,20.0,Weight loss,Protein-Rich Foods,No Restriction
Paneer Tikka,200,15.0,10.0,12.0,Weight loss,Vegetarian,No Restriction
Dal Fry,140,7.0,20.0,5.0,General health,Vegetarian,No Restriction
Dhokla,120,5.0,25.0,2.0,General health,Vegetarian,No Restriction
Chana Chaat,150,7.0,30.0,2.0,General health,Vegetarian,No Restriction
Dhal Tadka,150,8.0,20.0,5.0,General health,Vegetarian,No Restriction
Vegetable Pulao,200,5.0,35.0,5.0,General health,Vegetarian,No Restriction
Lassi,80,3.0,10.0,2.0,General health,Beverages,No Restriction
Papad,50,2.0,10.0,0.0,General health,Vegetarian,No Restriction
Cabbage Sabzi,90,2.0,15.0,3.0,General health,Vegetarian,No Restriction
Chicken Masala,280,20.0,15.0,18.0,Weight loss,Protein-Rich Foods,No Restriction
Vegetable Biryani,250,5.0,40.0,8.0,General health,Vegetarian,No Restriction
Aloo Paratha,300,5.0,30.0,15.0,General health,Vegetarian,No Restriction
Chana Masala,200,10.0,25.0,5.0,General health,Vegetarian,No Restriction
Dal Fry,150,8.0,20.0,5.0,General health,Vegetarian,No Restriction
Curd,60,3.0,6.0,3.0,General health,Dairy,No Restriction
Pav Bhaji,300,5.0,40.0,12.0,General health,Vegetarian,No Restriction
Bhindi Masala,100,3.0,15.0,5.0,General health,Vegetarian,No Restriction
Jeera Rice,150,3.0,30.0,2.0,General health,Vegetarian,No Restriction
Aloo Gobi,150,5.0,20.0,8.0,General health,Vegetarian,No Restriction
Butter Naan,200,5.0,30.0,6.0,General health,Whole Grains,Vegetarian
Palak Dal,130,7.0,15.0,6.0,General health,Vegetarian,No Restriction
Chole,180,10.0,25.0,5.0,General health,Vegetarian,No Restriction
Mango Lassi,120,3.0,20.0,3.0,General health,Beverages,No Restriction
Tandoori Chicken,300,25.0,0.0,15.0,Weight loss,Protein-Rich Foods,No Restriction
Biryani,300,7.0,40.0,10.0,General health,Vegetarian,No Restriction
Chana Masala,180,8.0,25.0,6.0,General health,Vegetarian,No Restriction
Bhindi Fry,120,3.0,15.0,7.0,General health,Vegetarian,No Restriction
Rice,100,2.0,20.0,0.5,General health,Whole Grains,Vegetarian
Dal Makhani,200,10.0,20.0,10.0,General health,Vegetarian,No Restriction
Aloo Jeera,150,3.0,25.0,5.0,General health,Vegetarian,No Restriction
Paneer Tikka Masala,300,15.0,20.0,18.0,Weight loss,Vegetarian,No Restriction
Sambhar,120,5.0,25.0,2.0,General health,Vegetarian,No Restriction
Chicken Tikka,200,15.0,5.0,12.0,Weight loss,Protein-Rich Foods,No Restriction
Upma,180,4.0,30.0,5.0,General health,Vegetarian,No Restriction
Butter Roti,150,3.0,20.0,6.0,General health,Whole Grains,Vegetarian
Kadhi Chawal,250,8.0,30.0,10.0,General health,Vegetarian,No Restriction
Mango Shake,150,3.0,25.0,4.0,General health,Beverages,No Restriction
Egg Curry,280,20.0,10.0,18.0,Weight loss,Protein-Rich Foods,No Restriction
Idli Sambar,200,5.0,40.0,2.0,General health,Vegetarian,No Restriction
Fish Curry,250,20.0,15.0,12.0,Weight loss,Protein-Rich Foods,No Restriction
Cabbage Sabzi,100,2.0,15.0,5.0,General health,Vegetarian,No Restriction
Lentil Soup (Dal),120,8.0,15.0,3.0,General health,Vegetarian,No Restriction
Puri Bhaji,300,5.0,40.0,12.0,General health,Vegetarian,No Restriction
Egg Bhurji,200,15.0,10.0,12.0,Weight loss,Protein-Rich Foods,No Restriction
Methi Thepla,120,3.0,20.0,5.0,General health,Whole Grains,Vegetarian
Tomato Rasam,80,2.0,15.0,1.0,General health,Vegetarian,No Restriction
Poha,180,4.0,35.0,3.0,General health,Vegetarian,No Restriction
Chicken Korma,280,20.0,10.0,15.0,Weight loss,Protein-Rich Foods,No Restriction
Paneer Butter Masala,300,15.0,20.0,18.0,Weight loss,Vegetarian,No Restriction
Masoor Dal,150,8.0,20.0,2.0,General health,Vegetarian,No Restriction
Dhokla,150,5.0,30.0,2.0,General health,Vegetarian,No Restriction
Chicken Kebab,200,18.0,2.0,12.0,Weight loss,Protein-Rich Foods,No Restriction
Chana Chaat,120,7.0,20.0,2.0,General health,Vegetarian,No Restriction
Rasam,50,1.0,10.0,1.0,General health,Vegetarian,No Restriction
Aloo Baingan,120,3.0,20.0,5.0,General health,Vegetarian,No Restriction
Puri,150,3.0,25.0,6.0,General health,Vegetarian,No Restriction
Lemon Rice,200,4.0,40.0,5.0,General health,Vegetarian,No Restriction
Tandoori Chicken,250,25.0,0.0,15.0,Weight loss,Protein-Rich Foods,No Restriction
Vegetable Samosa,150,3.0,20.0,7.0,General health,Snacks,No Restriction
Raita,80,4.0,8.0,4.0,General health,Vegetarian,No Restriction
Aloo Tikki,100,2.0,15.0,5.0,General health,Snacks,No Restriction
Masala Dosa,200,5.0,30.0,8.0,General health,Vegetarian,No Restriction
Chicken Curry,250,20.0,15.0,12.0,Weight loss,Protein-Rich Foods,No Restriction
Vegetable Upma,150,4.0,30.0,3.0,General health,Vegetarian,No Restriction
Mango Lassi,150,3.0,25.0,4.0,General health,Beverages,No Restriction
Sarson Da Saag,120,5.0,15.0,6.0,General health,Vegetarian,No Restriction
Gulab Jamun,150,2.0,30.0,5.0,Indulgence,Sweets,No Restriction
Aloo Matar,180,4.0,25.0,7.0,General health,Vegetarian,No Restriction
Bhutte Ka Kees,200,5.0,30.0,8.0,General health,Vegetarian,No Restriction
Jalebi,200,2.0,40.0,8.0,Indulgence,Sweets,No Restriction
Papdi Chaat,250,5.0,30.0,10.0,General health,Snacks,No Restriction
Raj Kachori,300,8.0,40.0,15.0,Indulgence,Snacks,No Restriction
Samosa Chaat,200,5.0,25.0,10.0,General health,Snacks,No Restriction
Gajar Ka Halwa,180,3.0,25.0,8.0,Indulgence,Sweets,No Restriction
Aloo Methi,150,4.0,20.0,6.0,General health,Vegetarian,No Restriction
Gobi Manchurian,250,5.0,30.0,12.0,Indulgence,Vegetarian,No Restriction
Puliyodarai(Tamarind Rice),250,5.0,40.0,8.0,General health,Vegetarian,No Restriction
Matar Pulao,200,5.0,35.0,6.0,General health,Vegetarian,No Restriction
Chicken 65,300,15.0,10.0,20.0,Weight loss,Protein-Rich Foods,No Restriction
Kheer,150,3.0,20.0,7.0,Indulgence,Sweets,No Restriction
Palak Paneer,200,10.0,15.0,12.0,General health,Vegetarian,No Restriction
Bhatura,250,5.0,30.0,10.0,Indulgence,Vegetarian,No Restriction
Chole Bhature,300,8.0,40.0,12.0,General health,Vegetarian,No Restriction
Mango Pickle,50,1.0,10.0,3.0,General health,Vegetarian,No Restriction
Baingan Bharta,150,5.0,20.0,8.0,General health,Vegetarian,No Restriction
Papaya Salad,80,1.0,20.0,0.5,General health,Vegetarian,No Restriction
Paneer Tikka,200,15.0,10.0,10.0,General health,Vegetarian,No Restriction
Lassi,120,3.0,15.0,6.0,General health,Beverages,No Restriction
Rava Upma,180,5.0,35.0,4.0,General health,Vegetarian,No Restriction
Palak Puri,200,4.0,30.0,6.0,General health,Vegetarian,No Restriction
Chicken Saagwala,250,20.0,15.0,10.0,Weight loss,Protein-Rich Foods,No Restriction
Vada Pav,300,5.0,40.0,12.0,Indulgence,Vegetarian,No Restriction
Rajasthani Gatte Ki Sabzi,180,6.0,25.0,7.0,General health,Vegetarian,No Restriction
Chicken Chettinad,300,25.0,10.0,15.0,Weight loss,Protein-Rich Foods,No Restriction
Kadhi Pakora,150,5.0,15.0,7.0,General health,Vegetarian,No Restriction
Malai Kofta,250,8.0,20.0,15.0,General health,Vegetarian,No Restriction
Methi Thepla,150,4.0,25.0,4.0,General health,Whole Grains,Vegetarian
Kofta Curry,250,10.0,15.0,18.0,General health,Vegetarian,No Restriction
Gajar Halwa,200,3.0,30.0,8.0,Indulgence,Sweets,No Restriction
Masala Papad,50,2.0,5.0,3.0,General health,Vegetarian,No Restriction
Kachumber Salad,30,1.0,5.0,1.0,General health,Vegetarian,No Restriction
Missi Roti,150,6.0,20.0,5.0,General health,Vegetarian,No Restriction
Samosa,200,3.0,25.0,10.0,General health,Vegetarian,No Restriction
Pani Puri,100,2.0,20.0,2.0,General health,Snacks,No Restriction
Rasam,50,2.0,10.0,1.0,General health,Vegetarian,No Restriction
Jhalmuri,120,3.0,25.0,2.0,General health,Snacks,No Restriction
Dum Aloo,180,4.0,20.0,10.0,General health,Vegetarian,No Restriction
Masala Chaas,40,2.0,5.0,1.0,General health,Beverages,No Restriction
Palak Pakora,150,5.0,15.0,7.0,General health,Vegetarian,No Restriction
Bisi Bele Bath,250,8.0,40.0,5.0,General health,Vegetarian,No Restriction
Aloo Jeera,120,3.0,20.0,5.0,General health,Vegetarian,No Restriction
Dal Makhani,250,10.0,25.0,12.0,General health,Vegetarian,No Restriction
Pesarattu (Green Gram Dosa),180,6.0,25.0,5.0,General health,Vegetarian,No Restriction
Baingan Bhaja,100,2.0,15.0,4.0,General health,Vegetarian,No Restriction
Malabar Parotta,200,4.0,25.0,10.0,General health,Whole Grains,Vegetarian
Mutton Biryani,350,25.0,30.0,18.0,Weight loss,Protein-Rich Foods,No Restriction
Soya Chaap,180,15.0,10.0,8.0,Weight loss,Protein-Rich Foods,No Restriction
Kokum Sharbat,80,1.0,20.0,0.0,General health,Beverages,No Restriction
Paneer Bhurji,150,10.0,5.0,12.0,General health,Vegetarian,No Restriction
Keema Samosa,200,6.0,20.0,10.0,General health,Snacks,No Restriction
Chapati,100,3.0,20.0,1.0,General health,Whole Grains,Vegetarian
Mutton Rogan Josh,300,20.0,15.0,18.0,Weight loss,Protein-Rich Foods,No Restriction
Rajma Masala,180,8.0,25.0,6.0,General health,Vegetarian,No Restriction
Tandoori Naan,150,5.0,20.0,4.0,General health,Whole Grains,Vegetarian
Chicken Tikka,200,18.0,3.0,12.0,Weight loss,Protein-Rich Foods,No Restriction
Methi Paratha,150,4.0,20.0,5.0,General health,Vegetarian,No Restriction
Mango Chutney,80,1.0,20.0,0.5,General health,Vegetarian,No Restriction
Rava Kesari,200,3.0,40.0,5.0,Indulgence,Sweets,No Restriction
Guava,68,2.6,14.0,0.9,General health,Fruits,No Restriction
Papaya,59,0.5,15.0,0.4,General health,Fruits,No Restriction
Pomegranate,83,1.7,18.7,1.2,General health,Fruits,No Restriction
Apple,52,0.3,14.0,0.2,General health,Fruits,No Restriction
Orange,43,1.0,8.3,0.2,General health,Fruits,No Restriction
Kiwi,61,1.1,14.6,0.5,General health,Fruits,No Restriction
Sitaphal(Custard Apple),94,2.1,23.6,0.5,General health,Fruits,No Restriction
Jamun,60,0.9,14.0,0.3,General health,Fruits,No Restriction
Sapota(Chikoo),83,0.9,19.0,0.5,General health,Fruits,No Restriction
Jackfruit,95,2.5,24.0,0.3,General health,Fruits,No Restriction
Papaya Salad,80,1.0,20.0,0.5,General health,Fruits,No Restriction
Strawberry,32,0.7,7.7,0.3,General health,Fruits,No Restriction
Chikoo Milkshake,120,2.0,28.0,1.0,General health,Beverages,No Restriction
Banana Smoothie,120,2.0,30.0,1.0,General health,Beverages,No Restriction
Kokum Sherbet,50,0.5,12.0,0.0,General health,Beverages,No Restriction
Fig (Anjeer),74,0.8,19.0,0.3,General health,Fruits,No Restriction
Dates,282,2.5,75.0,0.4,General health,Fruits,No Restriction
Custard Apple Milkshake,150,2.0,30.0,2.0,General health,Beverages,No Restriction
Mango Chaat,100,1.0,25.0,0.5,General health,Fruits,No Restriction
Pomegranate Raita,90,3.0,12.0,4.0,General health,Vegetarian,No Restriction
Mango Sorbet,120,1.0,30.0,0.0,General health,Fruits,No Restriction
Lychee,66,0.8,17.0,0.4,General health,Fruits,No Restriction
Kesar Pista Milk,150,5.0,15.0,7.0,General health,Beverages,No Restriction
Papaya Smoothie,120,2.0,30.0,0.5,General health,Fruits,No Restriction
Guava Chaat,80,2.0,20.0,0.5,General health,Fruits,No Restriction
Kokum Panna,60,0.5,15.0,0.0,General health,Beverages,No Restriction
Kokum Jelly,100,0.5,25.0,0.2,General health,Fruits,No Restriction
Kiwi Salad,70,1.5,15.0,1.0,General health,Fruits,No Restriction
Mango Lollipop,40,0.5,10.0,0.0,General health,Fruits,No Restriction
Jamun Juice,50,1.0,12.0,0.0,General health,Beverages,No Restriction
Lychee Sarbat,120,1.0,30.0,0.5,General health,Fruits,No Restriction
Masala Chai,50,1.0,10.0,1.0,General health,Beverages,No Restriction
Buttermilk,30,2.0,4.0,1.0,General health,Beverages,No Restriction
Thandai,100,2.0,20.0,3.0,General health,Beverages,No Restriction
Aam Panna,70,1.0,18.0,0.5,General health,Beverages,No Restriction
Jaljeera,40,1.0,10.0,0.5,General health,Beverages,No Restriction
Kokum Sharbat,60,0.5,15.0,0.0,General health,Beverages,No Restriction
Mango Juice (Packaged),120,1.0,30.0,0.5,General health,Beverages,No Restriction
Lemonade,30,0.5,8.0,0.0,General health,Beverages,No Restriction
Iced Tea (Packaged),70,0.0,18.0,0.0,General health,Beverages,No Restriction
Coconut Water,46,0.9,8.9,0.2,General health,Beverages,No Restriction
Rose Sherbet,80,0.5,20.0,0.0,General health,Beverages,No Restriction
Chaas (Spiced Buttermilk),25,2.0,3.0,1.0,General health,Beverages,No Restriction
Kesar Badam Milk,120,5.0,15.0,6.0,General health,Beverages,No Restriction
Ginger Tea,30,1.0,5.0,1.0,General health,Beverages,No Restriction
Bel (Wood Apple) Sharbat,70,0.5,18.0,0.3,General health,Beverages,No Restriction
Guava Juice (Packaged),100,1.0,25.0,0.5,General health,Beverages,No Restriction
Sattu Drink,60,5.0,10.0,1.0,General health,Beverages,No Restriction
Nimbu Pani,40,0.5,10.0,0.0,General health,Beverages,No Restriction
Mango Lassi (Packaged),150,2.0,30.0,2.0,General health,Beverages,No Restriction
Kokum Solkadhi,50,1.0,12.0,0.5,General health,Beverages,No Restriction
Aam Ras (Packaged),120,1.0,30.0,0.5,General health,Beverages,No Restriction
Jaljeera Soda (Packaged),90,0.5,22.0,0.0,General health,Beverages,No Restriction
Kokum Juice (Packaged),80,0.5,20.0,0.2,General health,Beverages,No Restriction
Masala Lemonade (Packaged),70,0.5,18.0,0.0,General health,Beverages,No Restriction
Thums Up (Indian Cola),150,0.0,38.0,0.0,General health,Beverages,No Restriction
Pepsi (Packaged),140,0.0,37.0,0.0,General health,Beverages,No Restriction
Limca (Lemon-Lime Soda),110,0.0,28.0,0.0,General health,Beverages,No Restriction
Sprite (Packaged),130,0.0,34.0,0.0,General health,Beverages,No Restriction
Frooti (Mango Drink),100,0.0,25.0,0.0,General health,Beverages,No Restriction
Maaza (Mango Drink),120,0.0,30.0,0.0,General health,Beverages,No Restriction
Rooh Afza Sharbat (Concentrate),70,0.0,18.0,0.0,General health,Beverages,No Restriction
Paper Boat Aamras (Packaged),120,1.0,30.0,0.5,General health,Beverages,No Restriction
Lassi (Packaged),100,2.0,15.0,4.0,General health,Beverages,No Restriction
Tzinga Energy Drink,120,0.0,30.0,0.0,General health,Beverages,No Restriction
Bovonto (Indian Cola),150,0.0,38.0,0.0,General health,Beverages,No Restriction
Appy Fizz (Apple Drink),90,0.0,22.0,0.0,General health,Beverages,No Restriction
Mirinda (Orange Drink),120,0.0,30.0,0.0,General health,Beverages,No Restriction
Boroline (Packaged),10,0.0,2.0,0.0,General health,,No Restriction
Rooh Afza Lemonade (Packaged),80,0.0,20.0,0.0,General health,Beverages,No Restriction
Rasna (Fruit Drink Mix),60,0.0,15.0,0.0,General health,Beverages,No Restriction
Kala Khatta (Packaged),70,0.0,18.0,0.0,General health,Beverages,No Restriction
Sosyo (Indian Cola),120,0.0,30.0,0.0,General health,Beverages,No Restriction
Coca-Cola (Packaged),140,0.0,39.0,0.0,General health,Beverages,No Restriction
Thums Up (Packaged),150,0.0,38.0,0.0,General health,Beverages,No Restriction
7UP (Packaged),140,0.0,36.0,0.0,General health,Beverages,No Restriction
Mountain Dew (Packaged),170,0.0,46.0,0.0,General health,Beverages,No Restriction
Appy Classic (Apple Drink),80,0.0,20.0,0.0,General health,Beverages,No Restriction
Taj Mahal Tea (Packaged),5,0.0,1.0,0.0,General health,Beverages,No Restriction
Kissan Mixed Fruit Jam (Packaged),50,0.0,13.0,0.0,General health,Condiments,No Restriction
Bru Instant Coffee (Packaged),2,0.0,0.0,0.0,General health,Beverages,No Restriction
Real Fruit Power (Packaged),60,0.0,15.0,0.0,General health,Beverages,No Restriction
Bournvita (Malt Drink Mix),80,2.0,15.0,1.0,General health,Beverages,No Restriction
Horlicks (Malt Drink Mix),100,3.0,15.0,2.0,General health,Beverages,No Restriction
Pani Puri (Golgappa),10,0.5,2.0,0.0,Indulgence,Street Food,No Restriction
Bhel Puri,150,3.0,30.0,5.0,Indulgence,Street Food,No Restriction
Vada Pav,300,5.0,45.0,12.0,Indulgence,Street Food,No Restriction
Samosa,120,2.0,15.0,6.0,Indulgence,Street Food,No Restriction
Paneer Tikka,200,10.0,15.0,12.0,Indulgence,Indian,No Restriction
Kachori,250,3.0,20.0,16.0,Indulgence,Street Food,No Restriction
Chole Bhature,500,10.0,60.0,20.0,Indulgence,Indian,No Restriction
Pav Bhaji,350,5.0,50.0,15.0,Indulgence,Street Food,No Restriction
Dahi Puri,120,3.0,20.0,4.0,Indulgence,Street Food,No Restriction
Aloo Tikki,100,2.0,15.0,4.0,Indulgence,Street Food,No Restriction
Dosa with Coconut Chutney,250,5.0,50.0,2.0,Indulgence,South Indian,No Restriction
Kathi Roll (Paneer),300,10.0,25.0,15.0,Indulgence,Indian,No Restriction
Pav Bhaji Pizza,400,8.0,45.0,20.0,Indulgence,Fusion,No Restriction
Chicken Biryani,500,20.0,60.0,20.0,Indulgence,Indian,No Restriction
Chole Kulche,350,10.0,60.0,5.0,Indulgence,North Indian,No Restriction
Idli Sambhar,200,4.0,40.0,1.0,Indulgence,South Indian,No Restriction
Momos with Spicy Sauce,150,5.0,20.0,5.0,Indulgence,Tibetan,No Restriction
Jalebi,250,1.0,60.0,10.0,Indulgence,Indian,No Restriction
Aloo Chaat,180,3.0,25.0,8.0,Indulgence,Street Food,No Restriction
Bread Pakora,200,5.0,20.0,12.0,Indulgence,Indian,No Restriction
Veg Hakka Noodles,300,8.0,45.0,10.0,Indulgence,Indo-Chinese,No Restriction
Chicken Seekh Kebab,180,15.0,5.0,12.0,Indulgence,Indian,No Restriction
Papdi Chaat,200,4.0,25.0,10.0,Indulgence,Street Food,No Restriction
Raj Kachori,350,6.0,40.0,18.0,Indulgence,Street Food,No Restriction
Kadai Paneer,250,12.0,15.0,18.0,Indulgence,Indian,No Restriction
Aloo Paratha,350,8.0,50.0,15.0,Indulgence,North Indian,No Restriction
Dabeli,300,5.0,40.0,12.0,Indulgence,Street Food,No Restriction
Paneer Pakora,180,10.0,15.0,12.0,Indulgence,Indian,No Restriction
Egg Roll,250,12.0,20.0,15.0,Indulgence,Indian,No Restriction
Vada Pav,200,4.0,25.0,10.0,Indulgence,Street Food,No Restriction
Schezwan Dosa,280,6.0,40.0,10.0,Indulgence,Indo-Chinese,No Restriction
Ragda Pattice,350,8.0,55.0,12.0,Indulgence,Street Food,No Restriction
Chana Chaat,180,5.0,30.0,5.0,Indulgence,Street Food,No Restriction
Mutton Biryani,550,25.0,60.0,25.0,Indulgence,Indian,No Restriction
Paneer Tikka Pizza,400,12.0,35.0,18.0,Indulgence,Fusion,No Restriction
Bhutte Ka Kees,200,5.0,30.0,8.0,Indulgence,Indian,No Restriction
Kalmi Kebab,220,18.0,10.0,15.0,Indulgence,Indian,No Restriction
Chole Bhature,450,12.0,60.0,20.0,Indulgence,North Indian,No Restriction
Baida Roti,300,15.0,20.0,18.0,Indulgence,Indian,No Restriction
Dhokla,120,5.0,20.0,2.0,Indulgence,Gujarati,No Restriction
Mutton Roll,300,15.0,25.0,15.0,Indulgence,Indian,No Restriction
Bhurji Pav,250,10.0,15.0,18.0,Indulgence,Indian,No Restriction
Methi Thepla,200,5.0,30.0,8.0,Indulgence,Gujarati,No Restriction
Keema Samosa,180,8.0,15.0,10.0,Indulgence,Indian,No Restriction
Fish Curry Rice,400,20.0,40.0,15.0,Indulgence,Seafood,No Restriction
Kadai Chicken,300,18.0,12.0,20.0,Indulgence,Indian,No Restriction
Mysore Pak,200,5.0,30.0,10.0,Indulgence,Sweets,No Restriction
Butter Chicken,450,20.0,25.0,30.0,Indulgence,Indian,No Restriction
Palak Chaat,180,5.0,25.0,8.0,Indulgence,Street Food,No Restriction
Tandoori Momos,250,12.0,20.0,12.0,Indulgence,Tibetan,No Restriction
Chole Samosa Chaat,250,7.0,40.0,8.0,Indulgence,Street Food,No Restriction
Achari Paneer Tikka,180,12.0,10.0,14.0,Indulgence,Indian,No Restriction
Misal Pav,300,10.0,45.0,12.0,Indulgence,Street Food,No Restriction
Chicken Korma,350,15.0,20.0,25.0,Indulgence,Indian,No Restriction
Dahi Ke Kebab,200,8.0,15.0,12.0,Indulgence,Indian,No Restriction
Bread Upma,220,6.0,30.0,8.0,Indulgence,Indian,No Restriction
Pav Bhaji Cones,180,5.0,25.0,10.0,Indulgence,Street Food,No Restriction
Rajma Chawal Cutlet,150,6.0,20.0,6.0,Indulgence,North Indian,No Restriction
Cheese Burst Pizza,400,15.0,40.0,20.0,Indulgence,Fusion,No Restriction
Paneer Chilli Dosa,300,10.0,25.0,15.0,Indulgence,Indo-Chinese,No Restriction
Aloo Tikki Burger,300,8.0,45.0,12.0,Indulgence,Street Food,No Restriction
Fish Tikka Wrap,250,15.0,20.0,15.0,Indulgence,Seafood,No Restriction
Papad Chaat,180,3.0,20.0,10.0,Indulgence,Street Food,No Restriction
Mughlai Paratha,350,10.0,50.0,15.0,Indulgence,North Indian,No Restriction
Veg Momos,120,5.0,15.0,6.0,Indulgence,Tibetan,No Restriction
Chilli Cheese Toast,200,8.0,20.0,10.0,Indulgence,Indian,No Restriction
Chicken Kathi Roll,300,15.0,25.0,18.0,Indulgence,Indian,No Restriction
Pav Bhaji Fondue,350,8.0,50.0,15.0,Indulgence,Fusion,No Restriction
Poha Cutlet,180,5.0,25.0,8.0,Indulgence,Indian,No Restriction
Dal Baati Churma,400,15.0,40.0,20.0,Indulgence,Rajasthani,No Restriction
Masala Dosa,320,10.0,40.0,15.0,Indulgence,Indo-Chinese,No Restriction
Achari Chicken Roll,280,15.0,20.0,18.0,Indulgence,Indian,No Restriction
Bhindi Kurkure,180,4.0,25.0,8.0,Indulgence,Indian,No Restriction
Chapati Noodles,250,6.0,30.0,12.0,Indulgence,Indo-Chinese,No Restriction
Bread Pakora Burger,300,8.0,40.0,12.0,Indulgence,Street Food,No Restriction
Kheema Pav,350,18.0,20.0,25.0,Indulgence,Indian,No Restriction
Maggi Pakora,200,5.0,25.0,10.0,Indulgence,Street Food,No Restriction
Palak Corn Sandwich,180,8.0,20.0,8.0,Indulgence,Indian,No Restriction
Vegetarian Momos,150,6.0,15.0,8.0,Indulgence,Tibetan,No Restriction
Gulab Jamun Shake,250,5.0,30.0,10.0,Indulgence,Sweets,No Restriction
Paneer Frankie,300,12.0,25.0,15.0,Indulgence,Indian,No Restriction
Aloo Bonda,180,5.0,20.0,10.0,Indulgence,Indian,No Restriction
Chilli Paneer Pizza,400,15.0,35.0,20.0,Indulgence,Fusion,No Restriction
Dhokla Sandwich,250,7.0,30.0,10.0,Indulgence,Gujarati,No Restriction
Mutton Kebab Roll,350,20.0,15.0,25.0,Indulgence,Indian,No Restriction
Rajma Pizza,300,10.0,40.0,12.0,Indulgence,Indian,No Restriction
Veg Hakka Noodles Wrap,280,8.0,35.0,12.0,Indulgence,Indo-Chinese,No Restriction
