food,calorie,protein,carbs,fat,Sugar,Fiber,Sodium,Vitamins,Minerals
Chicken Caesar Wrap,320,22.0,20.0,15.0,3.0,2.0,0.4,0.01,0.002
Vegetarian Margherita Pizza,280,12.0,30.0,10.0,2.0,3.0,0.35,0.012,0.001
Quinoa and Black Bean Salad,220,8.0,35.0,5.0,2.0,7.0,0.35,0.015,0.002
Iced Peppermint Tea,0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0
Avocado,160,2.0,9.0,15.0,0.7,6.7,0.01,0.004,0.002
Greek Chicken Salad,200,25.0,10.0,8.0,3.0,4.0,0.35,0.015,0.002
Tomato and Mozzarella Panini,300,14.0,25.0,15.0,2.0,3.0,0.3,0.012,0.001
Baked Chicken Thighs,200,22.0,0.0,12.0,0.0,0.0,0.08,0.0,0.002
Iced Matcha Latte,50,1.0,10.0,1.0,10.0,2.0,0.01,0.0,0.0
Turkey Club Salad,300,20.0,15.0,18.0,3.0,4.0,0.4,0.015,0.002
Vegetarian Margherita Pasta,250,10.0,30.0,8.0,2.0,3.0,0.3,0.012,0.001
Quinoa and Vegetable Wrap,280,12.0,35.0,9.0,2.0,6.0,0.35,0.01,0.002
Iced Hibiscus Tea,5,0.0,1.0,0.0,0.0,0.0,0.005,0.0,0.0
Coconut Water,45,0.5,11.0,0.0,6.0,0.0,0.025,0.005,0.002
Caesar Chicken Wrap,320,25.0,20.0,15.0,3.0,2.0,0.4,0.01,0.002
Mushroom and Swiss Panini,280,12.0,25.0,14.0,2.0,3.0,0.3,0.012,0.001
Grilled Tuna Steak,180,25.0,1.0,8.0,0.0,0.0,0.06,0.0,0.002
Iced Lemon Tea,10,0.0,3.0,0.0,2.0,0.0,0.005,0.0,0.0
Chicken Avocado Salad,280,20.0,15.0,18.0,3.0,4.0,0.4,0.015,0.002
Vegetarian Margherita Sandwich,250,10.0,30.0,8.0,2.0,3.0,0.3,0.012,0.001
Quinoa and Lentil Bowl,220,12.0,35.0,4.0,1.0,6.0,0.3,0.015,0.002
Iced Ginger Tea,5,0.0,1.0,0.0,1.0,0.0,0.005,0.0,0.0
Olive Tapenade,80,1.0,5.0,6.0,0.0,2.0,0.15,0.002,0.002
Greek Chicken Gyro,300,25.0,15.0,15.0,3.0,2.0,0.4,0.015,0.002
Caprese Panini,280,12.0,25.0,14.0,2.0,3.0,0.3,0.012,0.001
Roasted Turkey Breast,150,30.0,0.0,3.0,0.0,0.0,0.06,0.0,0.002
Iced Peach Tea,15,0.0,4.0,0.0,3.0,0.0,0.005,0.0,0.0
Chicken Caesar Bowl,320,22.0,20.0,15.0,3.0,2.0,0.4,0.01,0.002
Margherita Flatbread Sandwich,250,10.0,30.0,8.0,2.0,3.0,0.3,0.012,0.001
Quinoa and Chickpea Salad,220,8.0,35.0,5.0,2.0,7.0,0.35,0.015,0.002
Iced Lavender Tea,5,0.0,1.0,0.0,0.0,0.0,0.005,0.0,0.0
Almond Butter,180,7.0,5.0,15.0,1.0,2.0,0.0,0.0,0.002
Greek Chicken Wrap,300,25.0,15.0,12.0,3.0,4.0,0.35,0.015,0.002
Caprese Pasta Salad,280,12.0,25.0,14.0,2.0,3.0,0.3,0.012,0.001
Baked Cod Fish,120,25.0,0.0,2.0,0.0,0.0,0.05,0.0,0.002
Iced Berry Tea,10,0.0,3.0,0.0,2.0,0.0,0.005,0.0,0.0
Chicken Caesar Wrap,300,22.0,20.0,15.0,3.0,2.0,0.4,0.01,0.002
Quinoa and Vegetable Stir-Fry,220,8.0,35.0,5.0,2.0,7.0,0.35,0.015,0.002
Iced Peppermint Tea,5,0.0,1.0,0.0,0.0,0.0,0.005,0.0,0.0
Chicken Caesar Salad,200,25.0,10.0,8.0,3.0,4.0,0.35,0.015,0.002
Chana Masala,150,7.0,25.0,5.0,3.0,6.0,0.3,0.01,0.002
Masoor Dal,120,9.0,20.0,2.0,1.0,8.0,0.2,0.005,0.001
Chicken Biryani,300,20.0,30.0,15.0,2.0,3.0,0.4,0.01,0.002
Vegetable Pulao,250,5.0,40.0,8.0,2.0,5.0,0.3,0.008,0.002
Mango Lassi,150,5.0,30.0,2.0,25.0,1.0,0.02,0.01,0.001
Palak Paneer,200,15.0,10.0,12.0,3.0,5.0,0.35,0.015,0.002
Tandoori Roti,100,3.0,15.0,2.0,0.0,2.0,0.15,0.0,0.0
Coconut Chutney,50,1.0,5.0,3.0,1.0,2.0,0.1,0.0,0.001
Gulab Jamun,200,2.0,30.0,10.0,20.0,1.0,0.01,0.002,0.0
Aloo Gobi,180,5.0,20.0,10.0,3.0,4.0,0.25,0.015,0.001
Rice(Steamed),150,3.0,30.0,1.0,0.0,1.0,0.0,0.0,0.0
Dal Tadka,120,8.0,15.0,5.0,1.0,5.0,0.25,0.005,0.001
Roti,80,2.0,15.0,1.0,0.0,2.0,0.1,0.0,0.0
Aloo Paratha,250,5.0,30.0,12.0,1.0,3.0,0.2,0.01,0.001
Paneer Bhurji,200,15.0,10.0,12.0,2.0,4.0,0.3,0.015,0.002
Cucumber Raita,50,2.0,6.0,2.0,3.0,1.0,0.05,0.002,0.001
Chapati,70,2.0,12.0,1.0,0.0,1.0,0.08,0.0,0.0
Baingan Bharta,120,5.0,15.0,6.0,2.0,4.0,0.2,0.01,0.001
Masala Chai,50,1.0,8.0,2.0,5.0,1.0,0.01,0.002,0.0
Samosa,150,3.0,20.0,7.0,1.0,2.0,0.2,0.002,0.001
Khichdi,200,6.0,30.0,5.0,1.0,6.0,0.3,0.005,0.001
Bhindi Masala,120,3.0,15.0,7.0,2.0,4.0,0.2,0.01,0.001
Poha,150,3.0,30.0,2.0,1.0,3.0,0.15,0.002,0.001
Rajma Chawal,250,10.0,40.0,5.0,2.0,8.0,0.3,0.008,0.002
Curd Rice,180,5.0,25.0,6.0,4.0,2.0,0.1,0.002,0.001
Aloo Matar,160,4.0,20.0,8.0,2.0,3.0,0.25,0.01,0.001
Jalebi,250,2.0,40.0,10.0,30.0,1.0,0.005,0.0,0.001
Dosa,120,2.0,25.0,2.0,0.0,2.0,0.08,0.0,0.0
Mango,60,1.0,15.0,0.3,12.0,2.0,0.0,0.045,0.001
Lassi,100,3.0,15.0,3.0,10.0,0.0,0.03,0.002,0.001
Chapati,80,2.0,15.0,1.0,0.0,2.0,0.1,0.0,0.0
Rajma,160,8.0,30.0,2.0,1.0,6.0,0.25,0.005,0.001
Chicken Curry,250,20.0,10.0,15.0,2.0,3.0,0.35,0.01,0.002
Vegetable Biryani,300,7.0,40.0,10.0,2.0,5.0,0.3,0.008,0.002
Butter Chicken,350,25.0,15.0,20.0,3.0,2.0,0.4,0.01,0.002
Paneer Tikka,200,15.0,10.0,12.0,2.0,4.0,0.3,0.015,0.002
Dal Fry,140,7.0,20.0,5.0,1.0,4.0,0.2,0.005,0.001
Dhokla,120,5.0,25.0,2.0,1.0,3.0,0.15,0.002,0.001
Chana Chaat,150,7.0,30.0,2.0,3.0,6.0,0.2,0.005,0.001
Dhal Tadka,150,8.0,20.0,5.0,1.0,6.0,0.25,0.005,0.001
Vegetable Pulao,200,5.0,35.0,5.0,1.0,4.0,0.2,0.008,0.001
Lassi,80,3.0,10.0,2.0,8.0,0.0,0.02,0.002,0.001
Papad,50,2.0,10.0,0.0,0.0,1.0,0.1,0.0,0.0
Cabbage Sabzi,90,2.0,15.0,3.0,2.0,4.0,0.15,0.01,0.001
Chicken Masala,280,20.0,15.0,18.0,3.0,2.0,0.4,0.015,0.002
Vegetable Biryani,250,5.0,40.0,8.0,2.0,5.0,0.3,0.008,0.002
Aloo Paratha,300,5.0,30.0,15.0,1.0,3.0,0.2,0.01,0.001
Chana Masala,200,10.0,25.0,5.0,2.0,5.0,0.25,0.005,0.002
Dal Fry,150,8.0,20.0,5.0,1.0,4.0,0.2,0.005,0.001
Curd,60,3.0,6.0,3.0,4.0,0.0,0.02,0.002,0.001
Pav Bhaji,300,5.0,40.0,12.0,5.0,6.0,0.4,0.01,0.002
Bhindi Masala,100,3.0,15.0,5.0,2.0,4.0,0.15,0.01,0.001
Jeera Rice,150,3.0,30.0,2.0,0.0,1.0,0.0,0.0,0.0
Aloo Gobi,150,5.0,20.0,8.0,3.0,4.0,0.25,0.015,0.001
Butter Naan,200,5.0,30.0,6.0,1.0,3.0,0.25,0.0,0.0
Palak Dal,130,7.0,15.0,6.0,1.0,5.0,0.2,0.005,0.001
Chole,180,10.0,25.0,5.0,2.0,6.0,0.25,0.01,0.002
Mango Lassi,120,3.0,20.0,3.0,15.0,1.0,0.02,0.005,0.001
Tandoori Chicken,300,25.0,0.0,15.0,0.0,0.0,0.35,0.01,0.002
Biryani,300,7.0,40.0,10.0,2.0,5.0,0.3,0.008,0.002
Chana Masala,180,8.0,25.0,6.0,2.0,7.0,0.3,0.005,0.002
Bhindi Fry,120,3.0,15.0,7.0,2.0,4.0,0.2,0.01,0.001
Rice,100,2.0,20.0,0.5,0.0,1.0,0.0,0.0,0.0
Dal Makhani,200,10.0,20.0,10.0,2.0,8.0,0.25,0.005,0.001
Aloo Jeera,150,3.0,25.0,5.0,2.0,3.0,0.2,0.005,0.001
Paneer Tikka Masala,300,15.0,20.0,18.0,3.0,4.0,0.4,0.015,0.002
Sambhar,120,5.0,25.0,2.0,1.0,5.0,0.2,0.005,0.001
Chicken Tikka,200,15.0,5.0,12.0,1.0,3.0,0.3,0.01,0.002
Upma,180,4.0,30.0,5.0,1.0,4.0,0.2,0.005,0.001
Butter Roti,150,3.0,20.0,6.0,0.0,1.0,0.1,0.0,0.0
Kadhi Chawal,250,8.0,30.0,10.0,3.0,2.0,0.25,0.005,0.001
Mango Shake,150,3.0,25.0,4.0,15.0,1.0,0.02,0.005,0.001
Egg Curry,280,20.0,10.0,18.0,2.0,3.0,0.35,0.01,0.002
Idli Sambar,200,5.0,40.0,2.0,2.0,5.0,0.2,0.008,0.001
Fish Curry,250,20.0,15.0,12.0,2.0,3.0,0.3,0.01,0.002
Cabbage Sabzi,100,2.0,15.0,5.0,2.0,4.0,0.15,0.01,0.001
Lentil Soup (Dal),120,8.0,15.0,3.0,1.0,5.0,0.2,0.005,0.001
Puri Bhaji,300,5.0,40.0,12.0,2.0,3.0,0.3,0.008,0.002
Egg Bhurji,200,15.0,10.0,12.0,2.0,3.0,0.35,0.015,0.002
Methi Thepla,120,3.0,20.0,5.0,1.0,2.0,0.15,0.002,0.0
Tomato Rasam,80,2.0,15.0,1.0,3.0,1.0,0.1,0.005,0.001
Mango Lassi,150,5.0,30.0,2.0,20.0,1.0,0.02,0.01,0.001
Poha,180,4.0,35.0,3.0,1.0,3.0,0.15,0.002,0.001
Chicken Korma,280,20.0,10.0,15.0,2.0,3.0,0.35,0.01,0.002
Paneer Butter Masala,300,15.0,20.0,18.0,3.0,4.0,0.4,0.015,0.002
Masoor Dal,150,8.0,20.0,2.0,1.0,8.0,0.2,0.005,0.001
Dhokla,150,5.0,30.0,2.0,1.0,3.0,0.15,0.002,0.001
Chicken Kebab,200,18.0,2.0,12.0,1.0,2.0,0.3,0.01,0.002
Chana Chaat,120,7.0,20.0,2.0,3.0,6.0,0.2,0.005,0.001
Rasam,50,1.0,10.0,1.0,2.0,1.0,0.1,0.005,0.001
Aloo Baingan,120,3.0,20.0,5.0,1.0,3.0,0.15,0.01,0.001
Puri,150,3.0,25.0,6.0,2.0,3.0,0.15,0.0,0.0
Lemon Rice,200,4.0,40.0,5.0,1.0,2.0,0.2,0.005,0.001
Tandoori Chicken,250,25.0,0.0,15.0,0.0,0.0,0.35,0.01,0.002
Vegetable Samosa,150,3.0,20.0,7.0,1.0,2.0,0.2,0.002,0.001
Raita,80,4.0,8.0,4.0,3.0,1.0,0.05,0.002,0.001
Aloo Tikki,100,2.0,15.0,5.0,1.0,2.0,0.15,0.002,0.001
Masala Dosa,200,5.0,30.0,8.0,1.0,3.0,0.2,0.005,0.001
Chicken Curry,250,20.0,15.0,12.0,2.0,3.0,0.3,0.01,0.002
Vegetable Upma,150,4.0,30.0,3.0,1.0,4.0,0.15,0.002,0.001
Mango Lassi,150,3.0,25.0,4.0,20.0,1.0,0.02,0.005,0.001
Sarson Da Saag,120,5.0,15.0,6.0,2.0,3.0,0.15,0.01,0.001
Gulab Jamun,150,2.0,30.0,5.0,15.0,1.0,0.02,0.0,0.0
Aloo Matar,180,4.0,25.0,7.0,2.0,4.0,0.2,0.005,0.001
Bhutte Ka Kees,200,5.0,30.0,8.0,3.0,3.0,0.15,0.008,0.001
Jalebi,200,2.0,40.0,8.0,20.0,0.0,0.01,0.0,0.0
Papdi Chaat,250,5.0,30.0,10.0,3.0,2.0,0.2,0.005,0.002
Raj Kachori,300,8.0,40.0,15.0,5.0,4.0,0.25,0.002,0.002
Samosa Chaat,200,5.0,25.0,10.0,3.0,2.0,0.15,0.005,0.001
Gajar Ka Halwa,180,3.0,25.0,8.0,10.0,2.0,0.02,0.0,0.0
Aloo Methi,150,4.0,20.0,6.0,2.0,3.0,0.15,0.005,0.001
Gobi Manchurian,250,5.0,30.0,12.0,5.0,4.0,0.3,0.002,0.002
Puliyodarai(Tamarind Rice),250,5.0,40.0,8.0,2.0,4.0,0.2,0.005,0.001
Matar Pulao,200,5.0,35.0,6.0,1.0,3.0,0.15,0.002,0.001
Chicken 65,300,15.0,10.0,20.0,1.0,2.0,0.3,0.01,0.002
Kheer,150,3.0,20.0,7.0,12.0,1.0,0.01,0.002,0.001
Palak Paneer,200,10.0,15.0,12.0,2.0,3.0,0.2,0.015,0.002
Bhatura,250,5.0,30.0,10.0,2.0,2.0,0.2,0.0,0.0
Chole Bhature,300,8.0,40.0,12.0,2.0,5.0,0.3,0.008,0.002
Mango Pickle,50,1.0,10.0,3.0,5.0,2.0,0.1,0.002,0.001
Baingan Bharta,150,5.0,20.0,8.0,2.0,3.0,0.15,0.01,0.001
Papaya Salad,80,1.0,20.0,0.5,8.0,3.0,0.05,0.015,0.001
Paneer Tikka,200,15.0,10.0,10.0,2.0,2.0,0.25,0.008,0.002
Lassi,120,3.0,15.0,6.0,10.0,1.0,0.02,0.005,0.001
Rava Upma,180,5.0,35.0,4.0,1.0,4.0,0.15,0.002,0.001
Palak Puri,200,4.0,30.0,6.0,1.0,3.0,0.15,0.002,0.001
Chicken Saagwala,250,20.0,15.0,10.0,2.0,3.0,0.3,0.01,0.002
Vada Pav,300,5.0,40.0,12.0,5.0,6.0,0.4,0.01,0.002
Rajasthani Gatte Ki Sabzi,180,6.0,25.0,7.0,2.0,4.0,0.2,0.01,0.001
Chicken Chettinad,300,25.0,10.0,15.0,2.0,3.0,0.35,0.01,0.002
Kadhi Pakora,150,5.0,15.0,7.0,2.0,4.0,0.2,0.005,0.001
Malai Kofta,250,8.0,20.0,15.0,3.0,3.0,0.25,0.008,0.002
Methi Thepla,150,4.0,25.0,4.0,0.0,2.0,0.2,0.002,0.001
Kofta Curry,250,10.0,15.0,18.0,3.0,2.0,0.25,0.005,0.001
Baingan Bharta,120,5.0,15.0,6.0,2.0,3.0,0.15,0.01,0.001
Gajar Halwa,200,3.0,30.0,8.0,15.0,2.0,0.02,0.0,0.0
Masala Papad,50,2.0,5.0,3.0,1.0,2.0,0.05,0.0,0.0
Kachumber Salad,30,1.0,5.0,1.0,2.0,1.0,0.02,0.01,0.001
Missi Roti,150,6.0,20.0,5.0,1.0,2.0,0.15,0.0,0.0
Samosa,200,3.0,25.0,10.0,2.0,2.0,0.15,0.005,0.001
Pani Puri,100,2.0,20.0,2.0,3.0,2.0,0.1,0.002,0.001
Rasam,50,2.0,10.0,1.0,1.0,1.0,0.05,0.002,0.001
Jhalmuri,120,3.0,25.0,2.0,1.0,4.0,0.1,0.002,0.001
Dum Aloo,180,4.0,20.0,10.0,2.0,3.0,0.2,0.005,0.001
Masala Chaas,40,2.0,5.0,1.0,2.0,1.0,0.03,0.002,0.0
Palak Pakora,150,5.0,15.0,7.0,1.0,2.0,0.15,0.005,0.001
Bisi Bele Bath,250,8.0,40.0,5.0,2.0,5.0,0.25,0.005,0.002
Aloo Jeera,120,3.0,20.0,5.0,1.0,2.0,0.15,0.005,0.001
Dal Makhani,250,10.0,25.0,12.0,2.0,5.0,0.25,0.008,0.002
Pesarattu (Green Gram Dosa),180,6.0,25.0,5.0,1.0,4.0,0.2,0.002,0.001
Baingan Bhaja,100,2.0,15.0,4.0,1.0,3.0,0.1,0.002,0.001
Malabar Parotta,200,4.0,25.0,10.0,0.0,2.0,0.15,0.0,0.0
Mutton Biryani,350,25.0,30.0,18.0,2.0,3.0,0.4,0.01,0.002
Soya Chaap,180,15.0,10.0,8.0,1.0,2.0,0.2,0.005,0.001
Kokum Sharbat,80,1.0,20.0,0.0,15.0,1.0,0.01,0.002,0.0
Paneer Bhurji,150,10.0,5.0,12.0,2.0,1.0,0.2,0.01,0.001
Keema Samosa,200,6.0,20.0,10.0,2.0,2.0,0.15,0.005,0.001
Chapati,100,3.0,20.0,1.0,0.0,2.0,0.1,0.0,0.0
Mutton Rogan Josh,300,20.0,15.0,18.0,2.0,3.0,0.3,0.01,0.002
Rajma Masala,180,8.0,25.0,6.0,2.0,7.0,0.3,0.005,0.002
Tandoori Naan,150,5.0,20.0,4.0,0.0,2.0,0.15,0.0,0.0
Chicken Tikka,200,18.0,3.0,12.0,1.0,2.0,0.25,0.008,0.002
Methi Paratha,150,4.0,20.0,5.0,1.0,2.0,0.15,0.0,0.0
Mango Chutney,80,1.0,20.0,0.5,15.0,1.0,0.02,0.005,0.001
Rava Kesari,200,3.0,40.0,5.0,20.0,1.0,0.01,0.002,0.001
Guava,68,2.6,14.0,0.9,9.0,5.4,0.002,0.228,0.002
Papaya,59,0.5,15.0,0.4,8.9,2.3,0.008,0.086,0.002
Mango,60,0.8,15.0,0.4,14.0,1.6,0.001,0.054,0.001
Banana,105,1.3,27.0,0.3,14.0,2.6,0.001,0.105,0.001
Pineapple,50,0.5,13.0,0.1,9.0,1.4,0.001,0.047,0.001
Pomegranate,83,1.7,18.7,1.2,9.0,4.0,0.003,0.01,0.001
Apple,52,0.3,14.0,0.2,10.0,2.4,0.0,0.054,0.0
Orange,43,1.0,8.3,0.2,8.2,2.3,0.0,0.043,0.001
Kiwi,61,1.1,14.6,0.5,9.0,3.1,0.003,0.092,0.001
Watermelon,30,0.6,8.0,0.2,6.0,0.4,0.001,0.012,0.001
Mango Lassi,150,3.0,25.0,4.0,15.0,1.0,0.02,0.005,0.001
Grapes,69,0.6,18.0,0.2,16.0,0.9,0.002,0.003,0.0
Sitaphal(Custard Apple),94,2.1,23.6,0.5,14.9,2.4,0.007,0.018,0.001
Jamun,60,0.9,14.0,0.3,9.7,0.6,0.015,0.018,0.002
Sapota(Chikoo),83,0.9,19.0,0.5,16.5,5.3,0.012,0.02,0.002
Jackfruit,95,2.5,24.0,0.3,19.0,2.5,0.002,0.023,0.002
Strawberry,32,0.7,7.7,0.3,4.9,2.0,0.001,0.016,0.001
Chikoo Milkshake,120,2.0,28.0,1.0,15.0,4.0,0.02,0.002,0.001
Banana Smoothie,120,2.0,30.0,1.0,20.0,3.0,0.01,0.005,0.001
Kokum Sherbet,50,0.5,12.0,0.0,10.0,1.0,0.005,0.002,0.0
Fig (Anjeer),74,0.8,19.0,0.3,16.0,2.9,0.001,0.003,0.002
Dates,282,2.5,75.0,0.4,63.0,8.0,0.002,0.002,0.002
Custard Apple Milkshake,150,2.0,30.0,2.0,18.0,4.0,0.015,0.008,0.001
Mango Chaat,100,1.0,25.0,0.5,15.0,2.0,0.01,0.03,0.001
Pomegranate Raita,90,3.0,12.0,4.0,5.0,2.0,0.03,0.005,0.001
Mango Sorbet,120,1.0,30.0,0.0,25.0,2.0,0.005,0.01,0.001
Lychee,66,0.8,17.0,0.4,9.0,1.3,0.001,0.136,0.001
Kesar Pista Milk,150,5.0,15.0,7.0,10.0,1.0,0.02,0.006,0.001
Papaya Smoothie,120,2.0,30.0,0.5,20.0,4.0,0.01,0.01,0.001
Guava Chaat,80,2.0,20.0,0.5,10.0,4.0,0.005,0.04,0.002
Kokum Panna,60,0.5,15.0,0.0,12.0,1.0,0.005,0.002,0.0
Dragon Fruit,60,1.0,13.0,1.0,8.0,3.0,0.002,0.009,0.001
Kokum Jelly,100,0.5,25.0,0.2,15.0,1.0,0.01,0.005,0.001
Kiwi Salad,70,1.5,15.0,1.0,8.0,3.0,0.005,0.092,0.001
Mango Lollipop,40,0.5,10.0,0.0,7.0,1.0,0.002,0.005,0.0
Jamun Juice,50,1.0,12.0,0.0,10.0,1.0,0.005,0.018,0.001
Lychee Sarbat,120,1.0,30.0,0.5,25.0,2.0,0.005,0.01,0.001
Masala Chai,50,1.0,10.0,1.0,5.0,1.0,0.01,0.0,0.0
Buttermilk,30,2.0,4.0,1.0,2.0,0.0,0.02,0.002,0.001
Thandai,100,2.0,20.0,3.0,15.0,2.0,0.01,0.005,0.001
Aam Panna,70,1.0,18.0,0.5,12.0,2.0,0.005,0.015,0.001
Jaljeera,40,1.0,10.0,0.5,7.0,1.0,0.01,0.005,0.001
Kokum Sharbat,60,0.5,15.0,0.0,12.0,1.0,0.005,0.002,0.0
Mango Juice (Packaged),120,1.0,30.0,0.5,25.0,2.0,0.005,0.01,0.001
Lemonade,30,0.5,8.0,0.0,6.0,1.0,0.002,0.01,0.001
Iced Tea (Packaged),70,0.0,18.0,0.0,15.0,0.0,0.005,0.002,0.001
Coconut Water,46,0.9,8.9,0.2,6.0,2.7,0.005,0.003,0.002
Rose Sherbet,80,0.5,20.0,0.0,18.0,1.0,0.005,0.01,0.001
Chaas (Spiced Buttermilk),25,2.0,3.0,1.0,1.0,0.0,0.015,0.002,0.001
Kesar Badam Milk,120,5.0,15.0,6.0,10.0,1.0,0.02,0.005,0.002
Ginger Tea,30,1.0,5.0,1.0,3.0,1.0,0.005,0.0,0.0
Bel (Wood Apple) Sharbat,70,0.5,18.0,0.3,15.0,2.0,0.005,0.015,0.001
Guava Juice (Packaged),100,1.0,25.0,0.5,20.0,2.0,0.005,0.015,0.001
Sattu Drink,60,5.0,10.0,1.0,2.0,3.0,0.01,0.008,0.002
Nimbu Pani,40,0.5,10.0,0.0,8.0,1.0,0.002,0.01,0.001
Mango Lassi (Packaged),150,2.0,30.0,2.0,18.0,2.0,0.01,0.005,0.001
Kokum Solkadhi,50,1.0,12.0,0.5,10.0,1.0,0.005,0.002,0.001
Aam Ras (Packaged),120,1.0,30.0,0.5,25.0,2.0,0.005,0.01,0.001
Jaljeera Soda (Packaged),90,0.5,22.0,0.0,15.0,1.0,0.01,0.005,0.001
Kokum Juice (Packaged),80,0.5,20.0,0.2,12.0,1.0,0.005,0.002,0.001
Masala Lemonade (Packaged),70,0.5,18.0,0.0,15.0,1.0,0.002,0.01,0.001
Thums Up (Indian Cola),150,0.0,38.0,0.0,36.0,0.0,0.02,0.0,0.0
Pepsi (Packaged),140,0.0,37.0,0.0,36.0,0.0,0.025,0.0,0.0
Limca (Lemon-Lime Soda),110,0.0,28.0,0.0,26.0,0.0,0.015,0.0,0.0
Sprite (Packaged),130,0.0,34.0,0.0,33.0,0.0,0.02,0.0,0.0
Frooti (Mango Drink),100,0.0,25.0,0.0,20.0,0.0,0.015,0.0,0.0
Maaza (Mango Drink),120,0.0,30.0,0.0,28.0,0.0,0.018,0.0,0.0
Rooh Afza Sharbat (Concentrate),70,0.0,18.0,0.0,15.0,0.0,0.01,0.002,0.001
Paper Boat Aamras (Packaged),120,1.0,30.0,0.5,25.0,2.0,0.005,0.01,0.001
Lassi (Packaged),100,2.0,15.0,4.0,15.0,1.0,0.02,0.005,0.002
Tzinga Energy Drink,120,0.0,30.0,0.0,28.0,0.0,0.018,0.0,0.0
Bovonto (Indian Cola),150,0.0,38.0,0.0,36.0,0.0,0.02,0.0,0.0
Appy Fizz (Apple Drink),90,0.0,22.0,0.0,18.0,0.0,0.01,0.002,0.001
Mirinda (Orange Drink),120,0.0,30.0,0.0,28.0,0.0,0.018,0.0,0.0
Boroline (Packaged),10,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Rooh Afza Lemonade (Packaged),80,0.0,20.0,0.0,18.0,1.0,0.005,0.01,0.001
Rasna (Fruit Drink Mix),60,0.0,15.0,0.0,12.0,0.0,0.005,0.002,0.001
Kala Khatta (Packaged),70,0.0,18.0,0.0,15.0,0.0,0.01,0.002,0.001
Sosyo (Indian Cola),120,0.0,30.0,0.0,28.0,0.0,0.018,0.0,0.0
Coca-Cola (Packaged),140,0.0,39.0,0.0,39.0,0.0,0.023,0.0,0.0
Thums Up (Packaged),150,0.0,38.0,0.0,36.0,0.0,0.02,0.0,0.0
7UP (Packaged),140,0.0,36.0,0.0,34.0,0.0,0.015,0.0,0.0
Mountain Dew (Packaged),170,0.0,46.0,0.0,45.0,0.0,0.03,0.0,0.0
Appy Classic (Apple Drink),80,0.0,20.0,0.0,16.0,0.0,0.005,0.002,
Taj Mahal Tea (Packaged),5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kissan Mixed Fruit Jam (Packaged),50,0.0,13.0,0.0,10.0,0.5,0.005,0.0,0.0
Bru Instant Coffee (Packaged),2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real Fruit Power (Packaged),60,0.0,15.0,0.0,12.0,0.0,0.005,0.002,0.001
Bournvita (Malt Drink Mix),80,2.0,15.0,1.0,10.0,2.0,0.015,0.005,0.002
Horlicks (Malt Drink Mix),100,3.0,15.0,2.0,12.0,3.0,0.01,0.006,0.002
Pani Puri (Golgappa),10,0.5,2.0,0.0,0.0,0.0,0.005,0.0,0.0
Bhel Puri,150,3.0,30.0,5.0,5.0,2.0,0.01,0.008,0.001
Vada Pav,300,5.0,45.0,12.0,3.0,3.0,0.02,0.006,0.001
Samosa,120,2.0,15.0,6.0,2.0,1.0,0.01,0.002,0.001
Paneer Tikka,200,10.0,15.0,12.0,5.0,2.0,0.015,0.01,0.002
Kachori,250,3.0,20.0,16.0,3.0,1.0,0.01,0.004,0.002
Chole Bhature,500,10.0,60.0,20.0,5.0,5.0,0.025,0.008,0.003
Pav Bhaji,350,5.0,50.0,15.0,8.0,4.0,0.02,0.01,0.002
Dahi Puri,120,3.0,20.0,4.0,2.0,1.0,0.005,0.006,0.001
Aloo Tikki,100,2.0,15.0,4.0,1.0,2.0,0.005,0.002,0.001
Dosa with Coconut Chutney,250,5.0,50.0,2.0,2.0,5.0,0.015,0.006,0.002
Kathi Roll (Paneer),300,10.0,25.0,15.0,3.0,2.0,0.01,0.008,0.002
Pav Bhaji Pizza,400,8.0,45.0,20.0,5.0,3.0,0.02,0.01,0.002
Chicken Biryani,500,20.0,60.0,20.0,2.0,4.0,0.025,0.01,0.002
Chole Kulche,350,10.0,60.0,5.0,2.0,6.0,0.015,0.008,0.003
Idli Sambhar,200,4.0,40.0,1.0,1.0,4.0,0.01,0.006,0.002
Momos with Spicy Sauce,150,5.0,20.0,5.0,3.0,2.0,0.015,0.002,0.001
Jalebi,250,1.0,60.0,10.0,30.0,1.0,0.005,0.002,0.001
Aloo Chaat,180,3.0,25.0,8.0,5.0,3.0,0.01,0.004,0.001
Bread Pakora,200,5.0,20.0,12.0,3.0,2.0,0.015,0.002,0.001
Veg Hakka Noodles,300,8.0,45.0,10.0,2.0,4.0,0.015,0.002,0.001
Chicken Seekh Kebab,180,15.0,5.0,12.0,1.0,2.0,0.01,0.006,0.002
Papdi Chaat,200,4.0,25.0,10.0,5.0,2.0,0.01,0.004,0.001
Raj Kachori,350,6.0,40.0,18.0,6.0,3.0,0.015,0.002,0.002
Kadai Paneer,250,12.0,15.0,18.0,4.0,2.0,0.01,0.008,0.002
Aloo Paratha,350,8.0,50.0,15.0,2.0,5.0,0.015,0.006,0.002
Dabeli,300,5.0,40.0,12.0,4.0,3.0,0.02,0.01,0.001
